Country,Attribute,"Gross domestic product, constant prices","Gross domestic product, current prices","Gross domestic product, deflator","Gross domestic product per capita, constant prices","Gross domestic product per capita, current prices",Gross domestic product based on purchasing-power-parity (PPP) share of world total,Implied PPP conversion rate,Total investment,Gross national savings,"Inflation, average consumer prices","Inflation, end of period consumer prices",Volume of imports of goods and services,Volume of Imports of goods,Volume of exports of goods and services,Volume of exports of goods,Population,General government revenue,General government total expenditure,General government net lending/borrowing,General government primary net lending/borrowing,General government gross debt,"Gross domestic product corresponding to fiscal year, current prices",Current account balance,Unemployment rate,General government net debt,Employment,General government structural balance,Output gap in percent of potential GDP
Afghanistan,2017,1257.935,1379.055,102.404,44781.126,46432.834,0.061,17.206,18.481,26.058,115.974,115.356,4.446,2.6,-6.21,17.643,29.7,374.888,384.214,-9.326,-8.371,110.805,1285.46,9.007,,,,,
Afghanistan,2018,1271.405,1423.509,104.525,42589.119,45047.779,0.06,17.15,18.039,30.197,112.319,113.917,-5.115,-8.076,28.366,2.861,31.6,436.443,413.112,23.331,24.18,105.426,1327.69,14.395,,,,,
Afghanistan,2019,1323.814,1570.361,111.341,43430.409,48768.983,0.06,17.946,18.192,29.897,116.566,119.073,-7.839,-6.651,-4.161,1.593,32.2,422.864,439.472,-16.608,-15.99,96.222,1469.596,13.914,,,,,
Afghanistan,2020,1286.518,1648.432,120.05,41455.833,50042.561,0.061,19.101,16.462,27.619,126.278,127.087,-3.217,-2.153,0.534,-16.606,32.941,423.258,460.203,-36.946,-36.337,121.858,1547.289,13.404,,,,,
Afghanistan,2021,1000.858,1314.892,120.68,32120.309,39019.627,0.045,18.375,0,0,131.987,150.142,0,0,0,0,33.698,232.785,237.167,-4.382,-3.945,0,1232.858,0,,,,,
Afghanistan,2022,0,0,0,0,0,0,0,0,0,157.959,149.97,0,0,0,0,34.263,0,0,0,0,0,0,0,,,,,
Afghanistan,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Albania,2017,792.745,1601.307,196.547,286582.128,555205.881,0.031,41.231,24.672,17.085,105.282,105.819,6.032,4.39,10.113,-1.377,2.884,458.153,481.355,-23.201,10.761,1186.728,1550.645,-8.47,13.7,1081.259,,,
Albania,2018,824.672,1691.948,199.442,298249.147,586924.243,0.031,40.856,24.118,17.109,107.422,107.681,5.766,4.234,3.523,14.145,2.883,476.846,504.987,-28.141,10.604,1206.542,1636.73,-7.778,12.3,1067.752,,,
Albania,2019,839.874,1748.933,201.949,304668.292,607075.887,0.031,40.641,23.032,14.742,108.291,108.25,4.719,3.459,1.651,-8.415,2.881,487.558,521.003,-33.445,3.775,1207.164,1691.903,-8.737,11.47,1084.029,,,
